from,to,relation
hitzlsperger,keller,0
hitzlsperger,schraft,0
keller,schraft,0
vogt,porth,0
vogt,adrion,0
vogt,jenner,0
vogt,reiner,0
vogt,sugg,0
porth,adrion,0
porth,jenner,0
porth,reiner,0
porth,sugg,0
adrion,jenner,0
adrion,reiner,0
adrion,sugg,0
jenner,reiner,0
jenner,sugg,0
vfbag,hitzlsperger,1
vfbag,keller,1
vfbag,schraft,1
vfbag,vogt,1
vfbag,porth,1
vfbag,adrion,1
vfbag,jenner,1
vfbag,reiner,1
vfbag,sugg,1
vfbev,vogt,1
vfbev,adrion,1
daimler,porth,1
daimlerm,reiner,1
kaercher,jenner,1
intestia,vogt,1
bosch,sugg,1
vfbag,vfbev,2
vfbev,daimler,2
vfbev,kaercher,2
daimler,daimlerm,2